time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count
2022-03-11T07:50:00.0000000Z;2022-03-11T07:55:00.0000000Z;2022-03-11T07:50:00.6040000Z;2022-03-11T07:54:43.4580000Z;39172.000000000;39204.000000000;39152.759398910;39199.000000000;2.861040820;86
2022-03-11T07:55:00.0000000Z;2022-03-11T08:00:00.0000000Z;2022-03-11T07:55:02.4360000Z;2022-03-11T07:59:55.1960000Z;39199.000000000;39207.000000000;39109.313520760;39138.000000000;56.934453660;592
2022-03-11T08:00:00.0000000Z;2022-03-11T08:05:00.0000000Z;2022-03-11T08:00:06.2550000Z;2022-03-11T08:04:58.1130000Z;39137.000000000;39137.000000000;39043.000000000;39106.000000000;7.940766520;286
2022-03-11T08:05:00.0000000Z;2022-03-11T08:10:00.0000000Z;2022-03-11T08:05:00.5400000Z;2022-03-11T08:09:59.3350000Z;39106.000000000;39146.000000000;39089.382445000;39146.000000000;28.180716090;236
2022-03-11T08:10:00.0000000Z;2022-03-11T08:15:00.0000000Z;2022-03-11T08:10:00.4900000Z;2022-03-11T08:14:42.8830000Z;39146.000000000;39161.259548220;39124.000000000;39156.000000000;33.603621140;266
2022-03-11T08:15:00.0000000Z;2022-03-11T08:20:00.0000000Z;2022-03-11T08:15:04.9400000Z;2022-03-11T08:19:59.2150000Z;39153.000000000;39183.000000000;39050.566236500;39062.000000000;5.287018100;141
2022-03-11T08:20:00.0000000Z;2022-03-11T08:25:00.0000000Z;2022-03-11T08:20:05.4370000Z;2022-03-11T08:24:52.3790000Z;39063.000000000;39094.460539020;39022.000000000;39056.053024320;9.618430830;185
2022-03-11T08:25:00.0000000Z;2022-03-11T08:30:00.0000000Z;2022-03-11T08:25:07.2400000Z;2022-03-11T08:29:43.4230000Z;39049.468878940;39072.000000000;38966.000000000;38991.000000000;6.458305660;210
2022-03-11T08:30:00.0000000Z;2022-03-11T08:35:00.0000000Z;2022-03-11T08:30:02.5000000Z;2022-03-11T08:34:51.3680000Z;38991.000000000;38992.000000000;38868.000000000;38919.000000000;14.995685410;330
2022-03-11T08:35:00.0000000Z;2022-03-11T08:40:00.0000000Z;2022-03-11T08:35:05.2830000Z;2022-03-11T08:39:53.7040000Z;38923.882969330;39086.000000000;38923.882969330;39041.000000000;16.647909830;144
2022-03-11T08:40:00.0000000Z;2022-03-11T08:45:00.0000000Z;2022-03-11T08:40:03.0100000Z;2022-03-11T08:44:48.4060000Z;39041.000000000;39098.508786760;39041.000000000;39062.000000000;6.305879350;123
2022-03-11T08:45:00.0000000Z;2022-03-11T08:50:00.0000000Z;2022-03-11T08:45:01.4870000Z;2022-03-11T08:49:59.6650000Z;39059.629578780;39081.426590720;39014.000000000;39019.734749170;4.329535080;119
2022-03-11T08:50:00.0000000Z;2022-03-11T08:55:00.0000000Z;2022-03-11T08:50:03.5490000Z;2022-03-11T08:54:57.9100000Z;39018.637764780;39027.413639900;38961.000000000;38961.000000000;5.246967300;75
2022-03-11T08:55:00.0000000Z;2022-03-11T09:00:00.0000000Z;2022-03-11T08:55:05.1550000Z;2022-03-11T08:59:58.6010000Z;38961.000000000;39109.000000000;38945.000000000;39039.000000000;14.662471150;204
2022-03-11T09:00:00.0000000Z;2022-03-11T09:05:00.0000000Z;2022-03-11T09:00:05.4490000Z;2022-03-11T09:04:43.7450000Z;39034.056568180;39075.000000000;39032.000000000;39075.000000000;7.487552300;127
