exchange_id,website,name,data_start,data_end,data_quote_start,data_quote_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd
MXC,https://www.mxc.com/,MXC,2020-05-05,2021-09-09,2020-05-05T00:00:00.1335099Z,2021-09-09T14:11:56.7420550Z,1419,0,0,0
STELLARPORT,https://stellarport.io/,Stellarport,2019-10-01,2020-05-30,2019-10-01T17:28:13.0372611Z,2020-05-30T23:13:33.8370847Z,1587,0,0,0
MODIAX,https://www.modiax.com/,MODIAX,2018-10-24,2021-03-29,2019-02-05T23:23:14.0000000Z,2021-03-29T14:59:29.0000000Z,7,0,0,0
ANXPRO,https://anxpro.com/,ANXPro,2018-01-24,2019-08-06,2018-01-24T00:42:31.5662178Z,2019-08-06T11:10:04.4630000Z,19,0,0,0
GOPAX,https://www.gopax.com/,GOPAX,2018-02-23,2021-03-23,2019-04-08T15:18:02.2897595Z,2021-03-23T07:25:55.1227857Z,172,0,0,0
XS2,https://xs2.exchange/,XS2,2019-04-18,2019-08-06,2019-04-18T13:01:43.4096374Z,2019-08-06T12:04:33.7215024Z,104,0,0,0
DRAGONEX,https://dragonex.io/,DragonEX,2019-04-23,2022-02-10,2019-04-23T10:04:29.5913126Z,2022-02-10T21:17:39.3181540Z,197,0,0,0
BINANCEJE,https://www.binance.je/,Binance Jersey,2019-10-09,2020-11-10,2019-10-09T13:14:59.9761514Z,2020-11-10T00:02:46.1790000Z,11,0,0,0
SATANGPRO,https://satang.pro/,Satang Pro,2019-04-08,2022-03-21,2019-04-08T20:44:37.6240192Z,2022-03-21T06:15:14.5812463Z,7,0,0,0
PARIBU,https://www.paribu.com/,Paribu,2019-10-01,2022-01-27,2019-10-01T17:27:26.1924563Z,2022-01-27T11:00:23.3687310Z,93,0,0,0
BTSE,https://www.btse.com/,BTSE,2020-05-15,2022-03-21,2020-05-15T00:21:49.5017120Z,2022-03-21T06:14:29.4591772Z,1910,0,0,0
BEQUANT,https://bequant.io/,BEQUANT,2021-02-18,2022-03-21,2021-02-18T15:50:00.4558754Z,2022-03-21T06:15:33.3616143Z,220,52402941.02,1803104598.42,77876354761.86
FATBTC,https://www.fatbtc.com/,FatBTC,2019-04-18,2020-06-14,2019-04-18T09:54:11.3260416Z,2020-06-14T08:27:06.2789789Z,69,0,0,0
FCOIN,https://www.fcoin.com/,FCoin,2018-10-03,2020-02-10,2019-10-01T17:24:08.7882764Z,2020-02-10T15:47:33.0936056Z,324,0,0,0
HUOBIRU,http://huobi.com.ru/,Huobi Russia,2020-07-28,2020-12-11,2020-07-28T15:17:33.0948743Z,2020-12-11T11:01:42.5251976Z,468,0,0,0
CURRENCYCOM,https://currency.com/,Currency.com,2020-05-05,2022-03-21,2020-05-05T16:17:24.5303681Z,2022-03-21T06:15:18.4510000Z,1309,25006122.26,52809355.61,3466095860.99
COINPLACE,https://coinplace.pro/,CoinPlace,2019-10-01,2020-03-19,2019-10-01T17:22:11.6637319Z,2020-03-19T16:08:07.1019022Z,55,0,0,0
